category,date,newspaper,timestamp,title,url
Business,"May 9, 2025",The Herald,2025-05-10T16:48:54.672813,Nigeria to offer US$186m of green bonds this year,https://www.heraldonline.co.zw/nigeria-to-offer-us186m-of-green-bonds-this-year/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:48:56.001446,Trump teases ‘major’ trade announcement,https://www.heraldonline.co.zw/trump-teases-major-trade-announcement/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:48:57.930549,Gold producers deliver 8 tonnes in first quarter,https://www.heraldonline.co.zw/gold-producers-deliver-8-tonnes-in-first-quarter/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:49:00.495547,Kuvimba sets aside US$54m capex for gold cluster,https://www.heraldonline.co.zw/kuvimba-sets-aside-us54m-capex-for-gold-cluster/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:49:01.783406,Govt on course to  meet fingerling  stocking target,https://www.heraldonline.co.zw/govt-on-course-to-meet-fingerling-stocking-target/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:49:03.369810,Zim gold deliveries surge 62pc in April,https://www.heraldonline.co.zw/zim-gold-deliveries-surge-62pc-in-april/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:49:05.207841,Berries export earnings jump 351pc to US$50m,https://www.heraldonline.co.zw/berries-export-earnings-jump-351pc-to-us50m/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:07.072035,"CZI, India chamber  of commerce ink MoU",https://www.heraldonline.co.zw/czi-india-chamber-of-commerce-ink-mou/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:09.333691,SADC should accelerate new energy projects — Minister,https://www.heraldonline.co.zw/sadc-should-accelerate-new-energy-projects-minister/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:10.445627,ZimTrade initiative empowers Matabeleland North craft producers,https://www.heraldonline.co.zw/zimtrade-initiative-empowers-matabeleland-north-craft-producers/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:11.641775,Eagle REIT targets  VFEX debut by May,https://www.heraldonline.co.zw/eagle-reit-targets-vfex-debut-by-may/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:14.318937,Boosting trade: ZimTrade leads delegation of exporters to Malawi,https://www.heraldonline.co.zw/boosting-trade-zimtrade-leads-delegation-of-exporters-to-malawi-2/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:16.246790,"Retail sector forecast to grow by 5,10 pc in 2025",https://www.heraldonline.co.zw/retail-sector-forecast-to-grow-by-510-pc-in-2025/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T16:49:17.964666,KMH sets aside US$54m Capex for gold cluster,https://www.heraldonline.co.zw/kmh-sets-aside-us54m-capex-for-gold-cluster/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:19.337234,"Be cautious, job-seekers told Mukudzei Chingwere",https://www.heraldonline.co.zw/be-cautious-job-seekers-told-mukudzei-chingwere/?from=herald
Arts/Culture/Celebrities,"September 29, 2016",The Herald,2025-05-10T16:49:23.284769,Teenage whizz-kid makes UZ history,https://www.heraldonline.co.zw/teenage-whizz-kid-makes-uz-history/?from=herald
Sports,"May 9, 2025",The Herald,2025-05-10T16:49:24.662756,CAPS United settle for Bakala,https://www.heraldonline.co.zw/caps-united-settle-for-bakala/?from=herald
Sports,"May 9, 2025",The Herald,2025-05-10T16:49:25.148872,ZRU SUSPEND MTONGWIZO,https://www.heraldonline.co.zw/zru-suspend-mtongwizo/?from=herald
Sports,"May 9, 2025",The Herald,2025-05-10T16:49:26.500773,"Mpofu, Zimuto for World Champs",https://www.heraldonline.co.zw/mpofu-zimuto-for-world-champs/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:27.698050,Postecoglou hits back at critics,https://www.heraldonline.co.zw/postecoglou-hits-back-at-critics/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:29.838973,Flick readies Barca for El CLassico,https://www.heraldonline.co.zw/flick-readies-barca-for-el-classico/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:31.714303,Long-standing Zambia FA president Kamanga ousted,https://www.heraldonline.co.zw/long-standing-zambia-fa-president-kamanga-ousted/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:33.829460,CAPS twist leaves Tawachera stranded,https://www.heraldonline.co.zw/caps-twist-leaves-tawachera-stranded/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:34.902926,IT’S NICE TO SEE SAMAITA SMILING AGAIN,https://www.heraldonline.co.zw/its-nice-to-see-samaita-smiling-again/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:35.772981,Fresh start for CAPS United,https://www.heraldonline.co.zw/fresh-start-for-caps-united/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:37.937349,Paramount Rugby League set to kick off in Manicaland,https://www.heraldonline.co.zw/paramount-rugby-league-set-to-kick-off-in-manicaland/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:39.737000,How Tongogara United are kicking down barriers with football,https://www.heraldonline.co.zw/how-tongogara-united-are-kicking-down-barriers-with-football/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:41.620461,Historic Test will transform cricket – Houghton,https://www.heraldonline.co.zw/historic-test-will-transform-cricket-houghton/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:45.451542,Zifa in landmark humanitarian leap,https://www.heraldonline.co.zw/zifa-in-landmark-humanitarian-leap/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:45.468196,Tagara confident  of a bigger NAAZ team,https://www.heraldonline.co.zw/tagara-confident-of-a-bigger-naaz-team/?from=herald
Sports,"May 10, 2025",The Herald,2025-05-10T16:49:48.292713,Motor racing back at Donnybrook,https://www.heraldonline.co.zw/motor-racing-back-at-donnybrook/?from=herald
Arts/Culture/Celebrities,"March 11, 2025",The Herald,2025-05-10T16:49:49.560172,Julian King appreciates women in new song,https://www.heraldonline.co.zw/julian-king-appreciates-women-in-new-song/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:50.469567,Retesting for all drivers,https://www.heraldonline.co.zw/retesting-for-all-drivers/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:51.364916,Russians honour war heroes,https://www.heraldonline.co.zw/russians-honour-war-heroes/?from=herald
Politics,"May 9, 2025",The Herald,2025-05-10T16:49:53.189587,Construction of cement plant progressing well,https://www.heraldonline.co.zw/construction-of-cement-plant-progressing-well/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:54.362657,HCZ bid to challenge Supreme Court ruling dismissed,https://www.heraldonline.co.zw/hcz-bid-to-challenge-supreme-court-ruling-dismissed/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:56.816955,"Six arrested for smuggling 17,5 tonnes of T-shirts",https://www.heraldonline.co.zw/six-arrested-for-smuggling-175-tonnes-of-t-shirts/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:57.586542,Ambassador warns Zimbabweans about Saudi job risks,https://www.heraldonline.co.zw/ambassador-warns-zimbabweans-about-saudi-job-risks/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:49:58.691816,Azerbaijan MPs Meet Speaker,https://www.heraldonline.co.zw/azerbaijan-mps-meet-speaker/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:01.871966,Agro-tourism: Zimbabwe’s new frontier for prosperity and rural transformation . . . How Zimbabwe is blending agriculture and tourism to empower communities,https://www.heraldonline.co.zw/agro-tourism-zimbabwes-new-frontier-for-prosperity-and-rural-transformation-how-zimbabwe-is-blending-agriculture-and-tourism-to-empower-communities/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:02.858904,Minister Mhona mourns Gweru road accident victims,https://www.heraldonline.co.zw/minister-mhona-mourns-gweru-road-accident-victims-2/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:05.401607,Zim’s economic milestone: African Trade Centre underway,https://www.heraldonline.co.zw/zims-economic-milestone-african-trade-centre-underway/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:07.274795,Youths must lead in economic transformation: VP Mohadi,https://www.heraldonline.co.zw/youths-must-lead-in-economic-transformation-vp-mohadi/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:08.523351,"Harare collects millions, but no service delivered",https://www.heraldonline.co.zw/harare-collects-millions-but-no-service-delivered/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:10.643721,"Bring innovation back home, Russia-based students urged",https://www.heraldonline.co.zw/bring-innovation-back-home-russia-based-students-urged/?from=herald
Politics,"May 10, 2025",The Herald,2025-05-10T16:50:12.791274,"President shares stage with Putin, Xi in Moscow . . . as Russia showcases military prowess",https://www.heraldonline.co.zw/president-shares-stage-with-putin-xi-in-moscow-as-russia-showcases-military-prowess/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T16:50:14.230751,Digitalisation drive critical to investment promotion-ZIDA,https://www.heraldonline.co.zw/digitalisation-drive-critical-to-investment-promotion-zida/?from=herald
